ID,INCIDENT-TITLE,DESCRIPTION,INCIDENT-DATE,REPORT-TYPE,VICTIMS,LOCATION
530,"Hindutva extremists stopped the prayer meeting and threatened Pastor not to continue with any church activities in East Godawari","On 10th Febraury 2019, Hindutva extremists stopped the prayer meeting and threatened Pastor not to continue with any church activities in East Godavari, Andhra Pradesh

Hindutva extremists barged into the prayer meeting, disrupted and threatened Pastor not to conduct the Sunday church service. Pastor went to the police station at Yaleswaram to register the complaint but they asked him to come after two or three weeks and stop the prayer meeting till then.","February 10, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Andhra Pradesh"
531,"Police Personnel disrupted and stopped the prayer meeting in Coimbatore","On 9th February 2019, Police Personnel disrupted and stopped the prayer meeting in Velampalayam, Coimbatore District of Tamil Nadu.

Pastor conducting the worship with 30 believers in the church and all of sudden the police personnel came and disrupted the prayer meeting.","February 9, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Coimbatore,Tamil Nadu"
532,"Hindutva extremists burnt down the church in to ashes in Trichy","On 8th February 2019, Hindutva extremists burnt down the church in to ashes in Musiri, Trichy, Tamil Nadu

Pastor is been on constant threats from the hindutva extremists for conducting the prayer meeting in Musiri. On 8th February the extremists burnt the church to ashes. Believers complaint in the police station and the response was that they are suspecting mentally ill person might have done this.","February 8, 2019","Children,Damage or desecration of religious property or symbols,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Tamil Nadu"
533,"Around 25 hindutva extremists barged into the prayer meeting, attacked physically and warned them with dire consequences in Sultanpur","On 7th February 2019, Around 25 hindutva extremists barged into the prayer meeting, attacked physically and warned them with dire consequences in Chapar Village, Sultanpur, Uttar Pradesh.

Hindutva extremists entered the house and started to use abusive languages and beaten up the believers including women. Police reached the spot but they did not take any action against the extremists. The injured believers were taken to near by hospital.","February 7, 2019","Children,Complicity of authorities,Intimidation/Threats,Physical violence,Restrictions on religious assembly,Women",Women,"Uttar Pradesh"
534,"Hindutva extremists threatened and forced believers to renounce their Christian faith in Palamu","On 6th February 2019, Hindutva extremists threatened and forced believers to renounce their Christian faith in Palamu, Jharkhand.

Hindutva extremists gathered a meeting in the village and threatened two believers and forced them to renounce Christian faith - Gharwapsi.","February 6, 2019","Intimidation/Threats,Restricting access to public spaces and utilities,Restrictions on religious assembly",,Jharkhand
535,"Hindutva extremists disturbed, abused and warned sisters for doing minstry among the children in Tirunelveli","On 4th February 2019, Hindutva extremists disturbed, abused and warned sisters for doing minstry among the children in Tirunelveli, Tamil Nadu.

Sisters are doing the ministry among the children for the past ten years here in different localities. Hindutva extremists stopped them and warned them not to continue the ministry and if they do then they will take pictures of them and circulate.","February 4, 2019","Children,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Tamil Nadu,Tirunelveli"
536,"Police personnel disrupted the prayer meeting and stopped the prayer and took Pastor to the police station in Jaunpur","On 3rd February 2019, Police personnel disrupted the prayer meeting and stopped the prayer and took Pastor to the police station in Nigoha Village, Barsathi Police Station in Jaunpur District of Uttar Pradesh.

On Sunday Pastor was conducting the prayer meeting, during the meeting few police personnel came to the church and argued with the Pastor and disrupted the prayer. The church got around 400 members. Pastor showed them the church registration paper.

Police took Pastor to the police station on the false allegation of converting the poor in to Christianity. Pastor showed them the high court order to conduct the service and the he was released.","February 3, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Jaunpur,Uttar Pradesh"
537,"Frequent threats from a neighbor for conducting the prayer meeting in Bhimavaram","On 31st January 2019, Frequent threats from a neighbor for conducting the prayer meeting in Bhimavaram, Andhra Pradesh.

Hindutva extremists neighbor threatening Pastor for conducting the prayer meeting and he is disturbing the Pastor very often. Pastor lodged a complaint to the police station and the Inspector has assured his visit to Pastor's house.","January 31, 2019","Children,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Andhra Pradesh"
538,"Frequent threats from a neighbor for conducting the prayer meeting in Bhimavaram","On 31st January 2019, Frequent threats from a neighbor for conducting the prayer meeting in Bhimavaram, Andhra Pradesh.

Hindutva extremists neighbor threatening Pastor for conducting the prayer meeting and he is disturbing the Pastor very often. Pastor lodged a complaint to the police station and the Inspector has assured his visit to Pastor's house.","January 31, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Andhra Pradesh"
539,"Village council gave an ultimatum to a Christian family to leave the village because of his faith in Christ in Kondagaon","On 29th January 2019, Village council gave an ultimatum to a Christian family to leave the village because of his faith in Christ in Badethemli Village, Kondagaon, Chattisgarh.

Village council called up a village meeting to excommunicate a Christians family and they were called to the meeting and told him to disown Christ or leave the village with immediate effect and threatened him with dire consequences if they enter the village.","January 29, 2019","Children,Complicity of authorities,Intimidation/Threats,Restricting access to public spaces and utilities,Restrictions on religious assembly,Women",Women,"Bastar,Chhattisgarh,Kondagaon"
540,"Police arrested pastor based on the complaint by the hindutva extremists in Azamgarh","On 29th January 2019, Police arrested pastor based on the complaint by the hindutva extremists in Azamgarh, Uttar Pradesh.

Pastor arrested based on the complaint by the hindutva extremists and he is under police custody.","January 29, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Azamgarh,Uttar Pradesh"
